age,income,tenure,contract_type,payment_method,churn
19.0,63644.0,57.0,Month-to-month,Electronic check,0
38.0,62339.0,9.0,Month-to-month,Electronic check,1
33.0,49230.0,42.0,Month-to-month,Mailed check,0
33.0,69175.0,63.0,One year,Mailed check,0
28.0,54180.0,55.0,Two year,Mailed check,0
70.0,46232.0,23.0,One year,Electronic check,1
39.0,49386.0,28.0,One year,Credit card,1
41.0,91372.0,64.0,Month-to-month,Bank transfer,0
39.0,23770.0,2.0,Month-to-month,Credit card,1
73.0,63996.0,37.0,One year,Electronic check,1
37.0,24776.0,8.0,Month-to-month,Bank transfer,0
37.0,53052.0,64.0,Month-to-month,Credit card,0
36.0,47195.0,2.0,Month-to-month,Electronic check,1
36.0,17469.0,1.0,Two year,Electronic check,1
23.0,62003.0,23.0,One year,Electronic check,0
52.0,48159.0,14.0,Month-to-month,Electronic check,1
19.0,17214.0,35.0,One year,Mailed check,0
30.0,70112.0,21.0,Month-to-month,Electronic check,1
29.0,80830.0,25.0,Month-to-month,Electronic check,0
34.0,81822.0,40.0,Month-to-month,Bank transfer,0
61.0,61461.0,40.0,Month-to-month,Electronic check,0
52.0,55829.0,67.0,One year,Electronic check,1
74.0,78907.0,34.0,Month-to-month,Bank transfer,0
38.0,85283.0,40.0,One year,Electronic check,0
70.0,75404.0,48.0,Month-to-month,Electronic check,0
20.0,38052.0,12.0,One year,Electronic check,1
46.0,58624.0,48.0,One year,Electronic check,1
63.0,62911.0,62.0,One year,Mailed check,0
48.0,22427.0,22.0,One year,Electronic check,1
71.0,63448.0,12.0,Two year,Electronic check,0
35.0,95914.0,24.0,Month-to-month,Credit card,1
19.0,66519.0,19.0,One year,Credit card,0
62.0,81521.0,42.0,One year,Electronic check,1
21.0,58292.0,62.0,Month-to-month,Electronic check,1
61.0,53682.0,42.0,Month-to-month,Mailed check,1
59.0,61863.0,9.0,Month-to-month,Credit card,1
66.0,40315.0,22.0,Month-to-month,Credit card,1
45.0,37652.0,49.0,Month-to-month,Electronic check,1
69.0,77793.0,23.0,,Electronic check,1
27.0,79702.0,42.0,One year,Mailed check,0
42.0,37160.0,49.0,Month-to-month,Credit card,1
24.0,72424.0,23.0,Two year,Credit card,0
61.0,53435.0,46.0,Month-to-month,Electronic check,0
58.0,61117.0,28.0,One year,Bank transfer,1
63.0,63284.0,9.0,Month-to-month,Electronic check,1
61.0,72898.0,26.0,Month-to-month,Bank transfer,1
35.0,56489.0,31.0,Month-to-month,Credit card,0
21.0,80383.0,0.0,One year,Mailed check,1
70.0,60569.0,64.0,Month-to-month,Electronic check,0
46.0,66235.0,38.0,Two year,Bank transfer,0
23.0,40001.0,2.0,Month-to-month,Mailed check,1
70.0,93856.0,62.0,One year,Credit card,0
74.0,,61.0,Month-to-month,Electronic check,1
43.0,67834.0,0.0,One year,Credit card,0
61.0,26053.0,11.0,Month-to-month,Electronic check,0
20.0,40191.0,26.0,,Electronic check,0
23.0,77282.0,36.0,Month-to-month,Electronic check,0
33.0,60164.0,52.0,Month-to-month,Electronic check,0
55.0,20552.0,30.0,Month-to-month,Electronic check,1
25.0,73689.0,44.0,Two year,Bank transfer,0
19.0,45212.0,0.0,Month-to-month,Electronic check,1
56.0,80404.0,47.0,Month-to-month,Electronic check,0
61.0,53419.0,65.0,Two year,Electronic check,0
60.0,58685.0,37.0,Month-to-month,Electronic check,0
63.0,76221.0,32.0,Month-to-month,Credit card,0
63.0,38845.0,21.0,One year,Credit card,0
52.0,37129.0,68.0,Two year,Electronic check,0
47.0,51463.0,2.0,One year,Bank transfer,1
66.0,69889.0,20.0,,Bank transfer,0
37.0,31044.0,9.0,Two year,Credit card,0
23.0,24975.0,62.0,Month-to-month,Electronic check,1
60.0,69827.0,34.0,Two year,Electronic check,0
33.0,44146.0,66.0,Two year,Mailed check,0
73.0,,47.0,Two year,Credit card,0
41.0,21577.0,40.0,Month-to-month,Bank transfer,1
66.0,42778.0,37.0,Month-to-month,Mailed check,0
20.0,54864.0,14.0,One year,Electronic check,0
55.0,71747.0,40.0,Month-to-month,Bank transfer,1
43.0,41118.0,49.0,Month-to-month,Credit card,0
44.0,84833.0,69.0,Two year,Mailed check,0
33.0,42678.0,39.0,One year,Bank transfer,0
73.0,42704.0,67.0,Month-to-month,Mailed check,0
40.0,82672.0,68.0,Month-to-month,Mailed check,0
66.0,58806.0,37.0,Month-to-month,Mailed check,0
42.0,45064.0,31.0,Month-to-month,Bank transfer,1
20.0,52208.0,10.0,Month-to-month,Credit card,0
68.0,79355.0,19.0,Two year,Mailed check,0
28.0,81392.0,63.0,One year,Electronic check,1
33.0,40298.0,9.0,Month-to-month,Mailed check,1
67.0,54236.0,28.0,Month-to-month,Electronic check,1
68.0,56623.0,50.0,One year,Electronic check,0
70.0,37248.0,17.0,Two year,Electronic check,0
42.0,53998.0,70.0,Two year,Mailed check,0
61.0,55096.0,46.0,Month-to-month,Electronic check,1
36.0,75524.0,2.0,Two year,Electronic check,0
60.0,76734.0,17.0,Month-to-month,Bank transfer,0
46.0,49074.0,53.0,Month-to-month,Electronic check,0
20.0,51149.0,62.0,Two year,Bank transfer,0
41.0,66957.0,66.0,Month-to-month,Credit card,0
44.0,44467.0,61.0,Month-to-month,Bank transfer,0
32.0,65596.0,5.0,Month-to-month,Electronic check,0
39.0,53418.0,52.0,Month-to-month,Electronic check,1
46.0,37551.0,7.0,Month-to-month,Bank transfer,1
20.0,37777.0,5.0,One year,Mailed check,0
26.0,81047.0,49.0,Month-to-month,Electronic check,0
61.0,52184.0,34.0,Month-to-month,Mailed check,0
38.0,84526.0,46.0,Two year,Mailed check,0
52.0,45755.0,61.0,Month-to-month,Electronic check,1
50.0,60242.0,4.0,,Bank transfer,0
49.0,98068.0,37.0,Month-to-month,Electronic check,0
41.0,35967.0,60.0,One year,Electronic check,0
45.0,,31.0,Month-to-month,Credit card,0
64.0,78159.0,37.0,Two year,Electronic check,0
73.0,40117.0,35.0,Month-to-month,Bank transfer,0
32.0,54627.0,65.0,Two year,Mailed check,0
56.0,44453.0,3.0,Month-to-month,Electronic check,0
73.0,59827.0,63.0,One year,Credit card,0
18.0,37890.0,58.0,Month-to-month,Electronic check,1
62.0,51761.0,58.0,Month-to-month,Electronic check,1
46.0,63097.0,29.0,Month-to-month,Credit card,1
73.0,36850.0,37.0,Month-to-month,Bank transfer,1
50.0,42398.0,26.0,Month-to-month,Bank transfer,0
65.0,48747.0,18.0,One year,Electronic check,1
27.0,29281.0,63.0,Month-to-month,Electronic check,0
26.0,47394.0,36.0,Month-to-month,Bank transfer,1
70.0,57138.0,52.0,,Electronic check,1
48.0,47808.0,7.0,Month-to-month,Electronic check,1
49.0,50115.0,56.0,Month-to-month,Bank transfer,1
27.0,54642.0,47.0,One year,Electronic check,0
30.0,43197.0,71.0,Month-to-month,Electronic check,0
64.0,67439.0,9.0,Two year,Electronic check,0
35.0,80848.0,38.0,,Mailed check,1
51.0,46641.0,36.0,Month-to-month,Bank transfer,0
36.0,63734.0,38.0,Two year,Credit card,0
33.0,50687.0,3.0,Month-to-month,Electronic check,0
27.0,61579.0,34.0,Month-to-month,Electronic check,1
70.0,83184.0,21.0,Two year,Mailed check,0
71.0,64156.0,44.0,Two year,Mailed check,0
24.0,23079.0,16.0,One year,Mailed check,0
38.0,63172.0,31.0,Month-to-month,Credit card,1
50.0,77192.0,44.0,One year,Mailed check,0
39.0,51011.0,4.0,Two year,Mailed check,0
59.0,72921.0,56.0,Two year,Credit card,0
32.0,,51.0,Month-to-month,Electronic check,0
21.0,28260.0,4.0,Month-to-month,Credit card,0
37.0,57541.0,4.0,Month-to-month,Mailed check,0
52.0,23383.0,61.0,Month-to-month,Mailed check,0
28.0,50684.0,20.0,One year,Credit card,0
64.0,78163.0,61.0,Month-to-month,Mailed check,1
18.0,20624.0,35.0,Month-to-month,Mailed check,0
21.0,31969.0,24.0,Month-to-month,Electronic check,1
47.0,36423.0,19.0,Month-to-month,Bank transfer,1
47.0,53860.0,47.0,Month-to-month,Bank transfer,0
34.0,48417.0,7.0,Month-to-month,Electronic check,1
32.0,80184.0,28.0,Month-to-month,Bank transfer,0
21.0,72178.0,24.0,Two year,Bank transfer,0
55.0,63915.0,11.0,Month-to-month,Mailed check,1
39.0,57621.0,25.0,Month-to-month,Electronic check,1
24.0,,38.0,Month-to-month,Mailed check,0
40.0,39484.0,48.0,Month-to-month,Electronic check,0
71.0,70430.0,6.0,Month-to-month,Electronic check,1
32.0,34983.0,62.0,Month-to-month,Mailed check,1
68.0,70037.0,63.0,Month-to-month,Electronic check,0
32.0,76351.0,49.0,Month-to-month,Electronic check,0
28.0,58796.0,66.0,One year,Bank transfer,0
32.0,51828.0,30.0,Month-to-month,Electronic check,1
36.0,62206.0,59.0,Month-to-month,Credit card,1
24.0,15000.0,52.0,One year,Credit card,0
51.0,60441.0,40.0,Month-to-month,Bank transfer,1
37.0,52960.0,12.0,Month-to-month,Credit card,0
58.0,54089.0,40.0,Month-to-month,Credit card,0
45.0,67718.0,64.0,Month-to-month,Electronic check,1
43.0,53654.0,70.0,Month-to-month,Bank transfer,0
44.0,34476.0,32.0,Two year,Electronic check,0
26.0,52455.0,17.0,Two year,Bank transfer,1
58.0,56216.0,53.0,Two year,Mailed check,0
23.0,57069.0,5.0,Month-to-month,Electronic check,1
59.0,57915.0,10.0,Month-to-month,Electronic check,0
74.0,73709.0,40.0,Month-to-month,Credit card,0
61.0,35451.0,71.0,Month-to-month,Electronic check,1
43.0,58163.0,23.0,Month-to-month,Electronic check,1
35.0,,31.0,Month-to-month,Electronic check,1
67.0,23777.0,23.0,Month-to-month,Mailed check,0
32.0,58234.0,31.0,Month-to-month,Credit card,0
45.0,44463.0,0.0,Month-to-month,Bank transfer,1
61.0,48327.0,42.0,One year,Mailed check,0
70.0,38713.0,42.0,Month-to-month,Electronic check,1
70.0,51948.0,22.0,Two year,Electronic check,0
23.0,88143.0,19.0,Month-to-month,Mailed check,1
69.0,32240.0,54.0,Month-to-month,Credit card,1
24.0,33947.0,13.0,Month-to-month,Bank transfer,1
51.0,31565.0,3.0,Month-to-month,Mailed check,1
70.0,86094.0,2.0,Month-to-month,Bank transfer,1
55.0,46678.0,63.0,,Mailed check,1
72.0,54538.0,26.0,One year,Bank transfer,0
37.0,47750.0,7.0,Month-to-month,Mailed check,1
35.0,38000.0,63.0,Month-to-month,Bank transfer,1
36.0,50767.0,10.0,Two year,Mailed check,0
38.0,99248.0,24.0,Month-to-month,Credit card,0
56.0,80057.0,1.0,One year,Mailed check,0
43.0,39647.0,48.0,Month-to-month,Electronic check,1
60.0,66656.0,50.0,Month-to-month,Electronic check,1
41.0,40033.0,54.0,Month-to-month,Mailed check,0
35.0,23025.0,18.0,Month-to-month,Mailed check,1
28.0,73351.0,23.0,One year,Bank transfer,0
49.0,75882.0,67.0,Month-to-month,Bank transfer,0
69.0,73829.0,59.0,Month-to-month,Electronic check,0
66.0,46542.0,2.0,Month-to-month,Bank transfer,0
32.0,51998.0,49.0,Two year,Bank transfer,0
45.0,68496.0,58.0,One year,Mailed check,0
58.0,62047.0,40.0,Two year,Mailed check,0
52.0,,46.0,One year,Electronic check,0
21.0,25857.0,0.0,One year,Mailed check,0
51.0,57050.0,2.0,Month-to-month,Bank transfer,0
20.0,74422.0,2.0,Two year,Credit card,0
24.0,33443.0,11.0,Month-to-month,Bank transfer,1
55.0,66498.0,71.0,Month-to-month,Electronic check,0
23.0,60968.0,45.0,One year,Bank transfer,0
37.0,68503.0,56.0,Month-to-month,Bank transfer,0
51.0,70696.0,21.0,Month-to-month,Electronic check,0
55.0,42500.0,67.0,Month-to-month,Credit card,0
43.0,25895.0,14.0,Month-to-month,Electronic check,0
23.0,45397.0,64.0,Two year,Electronic check,0
63.0,71004.0,2.0,Month-to-month,Electronic check,0
72.0,45244.0,1.0,Two year,Electronic check,0
68.0,42507.0,5.0,Month-to-month,Credit card,1
60.0,22216.0,57.0,One year,Mailed check,0
40.0,86548.0,18.0,Month-to-month,Electronic check,1
67.0,69863.0,32.0,Two year,Mailed check,0
45.0,68858.0,33.0,Month-to-month,Mailed check,0
25.0,72419.0,56.0,Month-to-month,Electronic check,0
66.0,65381.0,25.0,Month-to-month,Electronic check,0
36.0,50602.0,0.0,Month-to-month,Bank transfer,0
71.0,52052.0,27.0,Month-to-month,Electronic check,0
38.0,47304.0,20.0,One year,Bank transfer,0
67.0,102425.0,52.0,Two year,Electronic check,0
48.0,65006.0,54.0,One year,Bank transfer,0
44.0,46652.0,6.0,Month-to-month,Credit card,0
34.0,,57.0,Month-to-month,Electronic check,1
65.0,36804.0,5.0,Two year,Electronic check,1
21.0,82081.0,44.0,Two year,Credit card,0
44.0,43101.0,28.0,Month-to-month,Mailed check,1
39.0,64020.0,21.0,Two year,Bank transfer,0
48.0,74188.0,34.0,Month-to-month,Electronic check,0
32.0,61926.0,22.0,Two year,Electronic check,0
55.0,56700.0,57.0,Two year,Mailed check,0
39.0,55194.0,69.0,One year,Credit card,0
28.0,53984.0,58.0,Month-to-month,Electronic check,0
29.0,44619.0,31.0,One year,Bank transfer,0
57.0,46909.0,36.0,Month-to-month,Bank transfer,0
32.0,81633.0,32.0,One year,Electronic check,0
35.0,53046.0,57.0,Month-to-month,Electronic check,0
53.0,40856.0,39.0,One year,Electronic check,1
36.0,45707.0,33.0,Two year,Mailed check,0
40.0,74807.0,29.0,Month-to-month,Bank transfer,1
31.0,67161.0,27.0,Month-to-month,Mailed check,0
37.0,65086.0,39.0,One year,Electronic check,0
57.0,50365.0,49.0,Month-to-month,Bank transfer,1
48.0,65321.0,31.0,Month-to-month,Bank transfer,0
74.0,43416.0,58.0,Month-to-month,Mailed check,1
61.0,50327.0,59.0,Month-to-month,Bank transfer,0
18.0,72456.0,30.0,,Electronic check,0
39.0,70737.0,65.0,One year,Bank transfer,0
34.0,37326.0,12.0,Month-to-month,Mailed check,1
51.0,39601.0,67.0,Month-to-month,Mailed check,0
33.0,56957.0,21.0,Month-to-month,Electronic check,1
73.0,86070.0,40.0,Month-to-month,Bank transfer,0
35.0,,20.0,One year,Bank transfer,0
47.0,60010.0,31.0,Month-to-month,Electronic check,0
25.0,30231.0,24.0,Month-to-month,Credit card,1
69.0,43582.0,50.0,,Credit card,0
69.0,48440.0,5.0,Month-to-month,Electronic check,1
63.0,47431.0,60.0,One year,Bank transfer,0
38.0,45392.0,65.0,Month-to-month,Mailed check,0
21.0,,40.0,Month-to-month,Credit card,0
58.0,45365.0,39.0,Month-to-month,Electronic check,1
42.0,28676.0,50.0,One year,Electronic check,1
74.0,69038.0,14.0,Two year,Mailed check,0
57.0,68552.0,53.0,Month-to-month,Electronic check,1
48.0,70177.0,15.0,Month-to-month,Bank transfer,0
74.0,27267.0,48.0,Month-to-month,Mailed check,0
63.0,60381.0,22.0,One year,Electronic check,0
44.0,67168.0,53.0,One year,Mailed check,0
19.0,36438.0,56.0,One year,Credit card,0
23.0,55165.0,15.0,Two year,Bank transfer,0
43.0,52907.0,44.0,Month-to-month,Mailed check,0
50.0,88159.0,35.0,One year,Electronic check,1
19.0,89641.0,21.0,One year,Electronic check,0
25.0,25042.0,42.0,Month-to-month,Credit card,1
58.0,99891.0,71.0,Two year,Bank transfer,0
60.0,38526.0,0.0,Month-to-month,Bank transfer,1
19.0,72652.0,68.0,One year,Credit card,0
46.0,72469.0,61.0,One year,Electronic check,0
22.0,37078.0,38.0,Two year,Bank transfer,0
59.0,63879.0,43.0,,Electronic check,1
65.0,53064.0,26.0,Month-to-month,Electronic check,0
67.0,64978.0,9.0,Two year,Mailed check,0
52.0,59152.0,41.0,One year,Mailed check,1
53.0,76534.0,58.0,Month-to-month,Credit card,0
70.0,56357.0,16.0,One year,Electronic check,1
52.0,51978.0,51.0,Month-to-month,Credit card,1
43.0,74729.0,53.0,One year,Bank transfer,0
61.0,65447.0,54.0,Two year,Bank transfer,0
51.0,68173.0,24.0,Month-to-month,Credit card,0
66.0,43037.0,28.0,Month-to-month,Mailed check,0
47.0,36185.0,29.0,Two year,Mailed check,0
67.0,44781.0,61.0,One year,Electronic check,0
20.0,43825.0,64.0,Two year,Electronic check,0
20.0,69152.0,29.0,Month-to-month,Credit card,1
23.0,72568.0,69.0,Two year,Mailed check,0
49.0,52208.0,41.0,Month-to-month,Electronic check,1
58.0,80757.0,27.0,Month-to-month,Electronic check,0
30.0,79632.0,0.0,Month-to-month,Mailed check,0
26.0,59381.0,43.0,One year,Bank transfer,0
67.0,40206.0,46.0,Two year,Electronic check,0
60.0,83357.0,69.0,One year,Bank transfer,0
54.0,53902.0,51.0,One year,Bank transfer,0
45.0,57271.0,2.0,Month-to-month,Bank transfer,1
41.0,48887.0,40.0,Month-to-month,Electronic check,1
19.0,38984.0,53.0,Month-to-month,Bank transfer,0
28.0,28564.0,35.0,Month-to-month,Electronic check,0
69.0,66392.0,30.0,Month-to-month,Mailed check,1
37.0,40899.0,58.0,Two year,Bank transfer,0
58.0,110072.0,44.0,One year,Bank transfer,0
58.0,35451.0,49.0,One year,Electronic check,0
35.0,32367.0,33.0,Month-to-month,Credit card,1
29.0,64182.0,20.0,Month-to-month,Electronic check,1
57.0,82528.0,37.0,Month-to-month,Bank transfer,0
23.0,56163.0,69.0,Month-to-month,Credit card,1
46.0,65300.0,43.0,Month-to-month,Mailed check,0
68.0,21816.0,50.0,Month-to-month,Credit card,0
58.0,42805.0,8.0,Month-to-month,Bank transfer,0
61.0,35675.0,71.0,One year,Bank transfer,0
22.0,20889.0,17.0,Month-to-month,Bank transfer,0
29.0,57106.0,69.0,Month-to-month,Bank transfer,0
33.0,15000.0,32.0,Month-to-month,Electronic check,0
34.0,31200.0,66.0,Month-to-month,Bank transfer,0
29.0,45331.0,64.0,Month-to-month,Electronic check,1
73.0,40037.0,54.0,Month-to-month,Credit card,0
27.0,62135.0,65.0,One year,Electronic check,0
58.0,60500.0,43.0,Month-to-month,Electronic check,0
51.0,71088.0,61.0,Two year,Credit card,0
52.0,68543.0,12.0,Month-to-month,Electronic check,0
30.0,75535.0,5.0,Month-to-month,Mailed check,0
35.0,54965.0,39.0,Month-to-month,Bank transfer,0
52.0,60462.0,58.0,Month-to-month,Electronic check,0
35.0,64207.0,55.0,Month-to-month,Electronic check,0
57.0,57550.0,38.0,Two year,Mailed check,0
20.0,47851.0,37.0,Month-to-month,Electronic check,0
22.0,49016.0,43.0,One year,Electronic check,0
59.0,40284.0,62.0,Month-to-month,Electronic check,1
53.0,62589.0,60.0,Month-to-month,Mailed check,0
20.0,53308.0,7.0,Month-to-month,Electronic check,0
69.0,43063.0,42.0,Month-to-month,Electronic check,0
18.0,43080.0,27.0,Month-to-month,Bank transfer,0
72.0,33213.0,57.0,Two year,Bank transfer,0
59.0,72619.0,36.0,One year,Electronic check,0
74.0,56415.0,71.0,Two year,Electronic check,0
72.0,39470.0,31.0,Month-to-month,Credit card,0
35.0,69554.0,48.0,One year,Bank transfer,0
61.0,44912.0,7.0,One year,Mailed check,1
30.0,29683.0,67.0,One year,Mailed check,0
44.0,73382.0,11.0,Two year,Electronic check,0
31.0,45332.0,27.0,One year,Credit card,0
45.0,47640.0,60.0,Two year,Credit card,0
67.0,55741.0,69.0,One year,Credit card,0
42.0,75567.0,34.0,Month-to-month,Electronic check,1
23.0,55361.0,34.0,One year,Electronic check,1
36.0,33416.0,3.0,Month-to-month,Electronic check,1
62.0,64790.0,70.0,Two year,Electronic check,0
47.0,46270.0,1.0,Two year,Electronic check,0
49.0,88983.0,1.0,Month-to-month,Bank transfer,1
42.0,54980.0,34.0,Month-to-month,Electronic check,1
34.0,,0.0,Month-to-month,Credit card,1
52.0,61433.0,11.0,Month-to-month,Electronic check,0
54.0,90003.0,45.0,Month-to-month,Electronic check,1
69.0,83367.0,50.0,One year,Credit card,0
53.0,87957.0,21.0,One year,Bank transfer,0
74.0,36644.0,57.0,Two year,Mailed check,0
65.0,71419.0,43.0,Month-to-month,Bank transfer,1
22.0,42004.0,16.0,Month-to-month,Electronic check,1
40.0,59037.0,51.0,Month-to-month,Electronic check,0
39.0,32087.0,42.0,Two year,Mailed check,0
18.0,43400.0,58.0,Month-to-month,Mailed check,0
28.0,42828.0,11.0,Month-to-month,Bank transfer,0
61.0,71174.0,16.0,Month-to-month,Electronic check,1
38.0,69413.0,21.0,Two year,Bank transfer,1
26.0,59983.0,24.0,Month-to-month,Bank transfer,1
34.0,30692.0,63.0,One year,Electronic check,1
33.0,,52.0,One year,Electronic check,0
27.0,41570.0,39.0,One year,Mailed check,0
23.0,70654.0,38.0,Month-to-month,Bank transfer,0
