sqft,bedrooms,age,neighborhood,price
852.0,5.0,27.0,B,154183.0
2048.0,1.0,34.0,B,299266.0
2063.0,5.0,53.0,B,297953.0
1161.0,4.0,62.0,A,184577.0
1408.0,1.0,53.0,A,190228.0
2554.0,4.0,74.0,A,345156.0
1534.0,1.0,76.0,A,255499.0
3034.0,1.0,56.0,B,418608.0
1799.0,1.0,29.0,B,283637.0
2024.0,3.0,47.0,B,279902.0
2689.0,4.0,34.0,B,394701.0
1872.0,3.0,50.0,B,300446.0
1249.0,1.0,64.0,A,164989.0
1740.0,1.0,29.0,B,289811.0
1780.0,5.0,40.0,A,265546.0
1049.0,5.0,3.0,A,209103.0
1659.0,4.0,58.0,B,264059.0
1392.0,1.0,39.0,B,229676.0
2308.0,5.0,36.0,A,341550.0
1819.0,4.0,42.0,,295162.0
1644.0,3.0,17.0,B,275607.0
1742.0,1.0,47.0,C,270902.0
1923.0,5.0,59.0,B,324812.0
2139.0,3.0,27.0,C,360998.0
1250.0,1.0,10.0,A,202728.0
1227.0,2.0,30.0,C,229131.0
2408.0,3.0,15.0,B,388641.0
1573.0,1.0,29.0,B,246893.0
1021.0,2.0,50.0,,179886.0
2044.0,3.0,9.0,B,333224.0
2055.0,5.0,59.0,B,364882.0
